model,corner,seed,dt,dynamic_noise,return_rate,settling_time_p95,residual_p95,reexit_rate,attempted_violations
zwei_zustaende_l0.8_s4.8_a0.5,erhoeht,101,0.02,1,1.0,5.0600000000000005,0.027902652027883817,0.0,0
zwei_zustaende_l0.8_s4.8_a0.5,erhoeht,101,0.02,0,1.0,5.04,0.026435586146150967,0.0,0
zwei_zustaende_l0.8_s4.8_a0.5,erhoeht,101,0.01,0,1.0,5.0600000000000005,0.02679514190190577,0.0,0
zwei_zustaende_l0.8_s4.8_a0.5,erhoeht,131,0.02,1,1.0,5.045,0.02822152983137694,0.0,0
zwei_zustaende_l0.8_s4.8_a0.5,erhoeht,131,0.02,0,1.0,5.0,0.02581035718529215,0.0,0
zwei_zustaende_l0.8_s4.8_a0.5,erhoeht,131,0.01,0,1.0,5.022500000000001,0.02616076289828216,0.0,0
zwei_zustaende_l0.8_s4.8_a0.5,erhoeht,167,0.02,1,1.0,5.265,0.032352626490022365,0.0,0
zwei_zustaende_l0.8_s4.8_a0.5,erhoeht,167,0.02,0,1.0,5.22,0.030769487284320014,0.0,0
zwei_zustaende_l0.8_s4.8_a0.5,erhoeht,167,0.01,0,1.0,5.24,0.031138279187232998,0.0,0
zwei_zustaende_l0.8_s4.8_a0.75,nominal,101,0.02,1,1.0,4.86,0.02167159201251974,0.0,0
zwei_zustaende_l0.8_s4.8_a0.75,nominal,101,0.02,0,1.0,4.86,0.021126786118011318,0.0,0
zwei_zustaende_l0.8_s4.8_a0.75,nominal,101,0.01,0,1.0,4.8725000000000005,0.02149604620123812,0.0,0
zwei_zustaende_l0.8_s4.8_a0.75,nominal,131,0.02,1,1.0,4.66,0.01835753370567602,0.0,0
zwei_zustaende_l0.8_s4.8_a0.75,nominal,131,0.02,0,1.0,4.64,0.017434995303499495,0.0,0
zwei_zustaende_l0.8_s4.8_a0.75,nominal,131,0.01,0,1.0,4.6625,0.017758121415792524,0.0,0
zwei_zustaende_l0.8_s4.8_a0.75,nominal,167,0.02,1,1.0,4.74,0.019133360612539403,0.0,0
zwei_zustaende_l0.8_s4.8_a0.75,nominal,167,0.02,0,1.0,4.72,0.018813952204736167,0.0,0
zwei_zustaende_l0.8_s4.8_a0.75,nominal,167,0.01,0,1.0,4.7425,0.01915339186021886,0.0,0
zwei_zustaende_l0.8_s4.8_a0.75,erhoeht,101,0.02,1,1.0,5.0600000000000005,0.027902652027883817,0.0,0
zwei_zustaende_l0.8_s4.8_a0.75,erhoeht,101,0.02,0,1.0,5.04,0.026435586146150967,0.0,0
zwei_zustaende_l0.8_s4.8_a0.75,erhoeht,101,0.01,0,1.0,5.0600000000000005,0.02679514190190577,0.0,0
zwei_zustaende_l0.8_s4.8_a0.75,erhoeht,131,0.02,1,1.0,5.045,0.02822152983137694,0.0,0
zwei_zustaende_l0.8_s4.8_a0.75,erhoeht,131,0.02,0,1.0,5.0,0.02581035718529215,0.0,0
zwei_zustaende_l0.8_s4.8_a0.75,erhoeht,131,0.01,0,1.0,5.022500000000001,0.02616076289828216,0.0,0
zwei_zustaende_l0.8_s4.8_a0.75,erhoeht,167,0.02,1,1.0,5.265,0.032352626490022365,0.0,0
zwei_zustaende_l0.8_s4.8_a0.75,erhoeht,167,0.02,0,1.0,5.22,0.030769487284320014,0.0,0
zwei_zustaende_l0.8_s4.8_a0.75,erhoeht,167,0.01,0,1.0,5.24,0.031138279187232998,0.0,0
zwei_zustaende_l1_s2_a0.25,nominal,101,0.02,1,1.0,3.885,0.007653492988584202,0.0,0
zwei_zustaende_l1_s2_a0.25,nominal,101,0.02,0,1.0,3.88,0.006767561131135319,0.0,0
zwei_zustaende_l1_s2_a0.25,nominal,101,0.01,0,1.0,3.9,0.006950523230798434,0.0,0
zwei_zustaende_l1_s2_a0.25,nominal,131,0.02,1,1.0,3.72,0.006718565710603316,0.0,0
zwei_zustaende_l1_s2_a0.25,nominal,131,0.02,0,1.0,3.7,0.005422614461676796,0.0,0
zwei_zustaende_l1_s2_a0.25,nominal,131,0.01,0,1.0,3.73,0.005576469169976651,0.0,0
zwei_zustaende_l1_s2_a0.25,nominal,167,0.02,1,1.0,3.7800000000000002,0.006764033681748636,0.0,0
zwei_zustaende_l1_s2_a0.25,nominal,167,0.02,0,1.0,3.7600000000000002,0.005943413177079055,0.0,0
zwei_zustaende_l1_s2_a0.25,nominal,167,0.01,0,1.0,3.79,0.006107635878747452,0.0,0
zwei_zustaende_l1_s2_a0.25,erhoeht,101,0.02,1,1.0,4.04,0.012404651656128654,0.0,0
zwei_zustaende_l1_s2_a0.25,erhoeht,101,0.02,0,1.0,4.0200000000000005,0.009920417616906452,0.0,0
zwei_zustaende_l1_s2_a0.25,erhoeht,101,0.01,0,1.0,4.0425,0.010116337656704407,0.0,0
zwei_zustaende_l1_s2_a0.25,erhoeht,131,0.02,1,1.0,4.04,0.01296309739833372,0.0,0
zwei_zustaende_l1_s2_a0.25,erhoeht,131,0.02,0,1.0,4.0,0.009776106809176488,0.0,0
zwei_zustaende_l1_s2_a0.25,erhoeht,131,0.01,0,1.0,4.022500000000001,0.00996560082688118,0.0,0
zwei_zustaende_l1_s2_a0.25,erhoeht,167,0.02,1,1.0,4.18,0.014869583449139318,0.0,0
zwei_zustaende_l1_s2_a0.25,erhoeht,167,0.02,0,1.0,4.16,0.012311576059921525,0.0,0
zwei_zustaende_l1_s2_a0.25,erhoeht,167,0.01,0,1.0,4.1825,0.012524483233690436,0.0,0
zwei_zustaende_l1_s2_a0.5,nominal,101,0.02,1,1.0,3.885,0.007653492988584202,0.0,0
zwei_zustaende_l1_s2_a0.5,nominal,101,0.02,0,1.0,3.88,0.006767561131135319,0.0,0
zwei_zustaende_l1_s2_a0.5,nominal,101,0.01,0,1.0,3.9,0.006950523230798434,0.0,0
zwei_zustaende_l1_s2_a0.5,nominal,131,0.02,1,1.0,3.72,0.006718565710603316,0.0,0
zwei_zustaende_l1_s2_a0.5,nominal,131,0.02,0,1.0,3.7,0.005422614461676796,0.0,0
zwei_zustaende_l1_s2_a0.5,nominal,131,0.01,0,1.0,3.73,0.005576469169976651,0.0,0
zwei_zustaende_l1_s2_a0.5,nominal,167,0.02,1,1.0,3.7800000000000002,0.006764033681748636,0.0,0
zwei_zustaende_l1_s2_a0.5,nominal,167,0.02,0,1.0,3.7600000000000002,0.005943413177079055,0.0,0
zwei_zustaende_l1_s2_a0.5,nominal,167,0.01,0,1.0,3.79,0.006107635878747452,0.0,0
zwei_zustaende_l1_s2_a0.5,erhoeht,101,0.02,1,1.0,4.04,0.012404651656128654,0.0,0
